00001 A00     0 Cholera                                                      Cholera
00002 A000    1 Cholera due to Vibrio cholerae 01, biovar cholerae           Cholera due to Vibrio cholerae 01, biovar cholerae
00003 A001    1 Cholera due to Vibrio cholerae 01, biovar eltor              Cholera due to Vibrio cholerae 01, biovar eltor
00004 A009    1 Cholera, unspecified                                         Cholera, unspecified
00005 A01     0 Typhoid and paratyphoid fevers                               Typhoid and paratyphoid fevers
00006 A010    0 Typhoid fever                                                Typhoid fever
00007 A0100   1 Typhoid fever, unspecified                                   Typhoid fever, unspecified
00008 A0101   1 Typhoid meningitis                                           Typhoid meningitis
00009 A0102   1 Typhoid fever with heart involvement                         Typhoid fever with heart involvement
00010 A0103   1 Typhoid pneumonia                                            Typhoid pneumonia
00011 A0104   1 Typhoid arthritis                                            Typhoid arthritis
00012 A0105   1 Typhoid osteomyelitis                                        Typhoid osteomyelitis
00013 A0109   1 Typhoid fever with other complications                       Typhoid fever with other complications
00014 A011    1 Paratyphoid fever A                                          Paratyphoid fever A
00015 A012    1 Paratyphoid fever B                                          Paratyphoid fever B
00016 A013    1 Paratyphoid fever C                                          Paratyphoid fever C
00017 A014    1 Paratyphoid fever, unspecified                               Paratyphoid fever, unspecified
00018 A02     0 Other salmonella infections                                  Other salmonella infections
00019 A020    1 Salmonella enteritis                                         Salmonella enteritis
00020 A021    1 Salmonella sepsis                                            Salmonella sepsis
00021 A022    0 Localized salmonella infections                              Localized salmonella infections
00022 A0220   1 Localized salmonella infection, unspecified                  Localized salmonella infection, unspecified
00023 A0221   1 Salmonella meningitis                                        Salmonella meningitis
00024 A0222   1 Salmonella pneumonia                                         Salmonella pneumonia
00025 A0223   1 Salmonella arthritis                                         Salmonella arthritis
00026 A0224   1 Salmonella osteomyelitis                                     Salmonella osteomyelitis
00027 A0225   1 Salmonella pyelonephritis                                    Salmonella pyelonephritis
00028 A0229   1 Salmonella with other localized infection                    Salmonella with other localized infection
00029 A028    1 Other specified salmonella infections                        Other specified salmonella infections
00030 A029    1 Salmonella infection, unspecified                            Salmonella infection, unspecified
00031 A03     0 Shigellosis                                                  Shigellosis
00032 A030    1 Shigellosis due to Shigella dysenteriae                      Shigellosis due to Shigella dysenteriae
00033 A031    1 Shigellosis due to Shigella flexneri                         Shigellosis due to Shigella flexneri
00034 A032    1 Shigellosis due to Shigella boydii                           Shigellosis due to Shigella boydii
00035 A033    1 Shigellosis due to Shigella sonnei                           Shigellosis due to Shigella sonnei
00036 A038    1 Other shigellosis                                            Other shigellosis
00037 A039    1 Shigellosis, unspecified                                     Shigellosis, unspecified
00038 A04     0 Other bacterial intestinal infections                        Other bacterial intestinal infections
00039 A040    1 Enteropathogenic Escherichia coli infection                  Enteropathogenic Escherichia coli infection
00040 A041    1 Enterotoxigenic Escherichia coli infection                   Enterotoxigenic Escherichia coli infection
00041 A042    1 Enteroinvasive Escherichia coli infection                    Enteroinvasive Escherichia coli infection
00042 A043    1 Enterohemorrhagic Escherichia coli infection                 Enterohemorrhagic Escherichia coli infection
00043 A044    1 Other intestinal Escherichia coli infections                 Other intestinal Escherichia coli infections
00044 A045    1 Campylobacter enteritis                                      Campylobacter enteritis
00045 A046    1 Enteritis due to Yersinia enterocolitica                     Enteritis due to Yersinia enterocolitica
00046 A047    0 Enterocolitis due to Clostridium difficile                   Enterocolitis due to Clostridium difficile
00047 A0471   1 Enterocolitis due to Clostridium difficile, recurrent        Enterocolitis due to Clostridium difficile, recurrent
00048 A0472   1 Enterocolitis d/t Clostridium difficile, not spcf as recur   Enterocolitis due to Clostridium difficile, not specified as recurrent
00049 A048    1 Other specified bacterial intestinal infections              Other specified bacterial intestinal infections
00050 A049    1 Bacterial intestinal infection, unspecified                  Bacterial intestinal infection, unspecified
00051 A05     0 Oth bacterial foodborne intoxications, NEC                   Other bacterial foodborne intoxications, not elsewhere classified
00052 A050    1 Foodborne staphylococcal intoxication                        Foodborne staphylococcal intoxication
00053 A051    1 Botulism food poisoning                                      Botulism food poisoning
00054 A052    1 Foodborne Clostridium perfringens intoxication               Foodborne Clostridium perfringens [Clostridium welchii] intoxication
00055 A053    1 Foodborne Vibrio parahaemolyticus intoxication               Foodborne Vibrio parahaemolyticus intoxication
00056 A054    1 Foodborne Bacillus cereus intoxication                       Foodborne Bacillus cereus intoxication
00057 A055    1 Foodborne Vibrio vulnificus intoxication                     Foodborne Vibrio vulnificus intoxication
00058 A058    1 Other specified bacterial foodborne intoxications            Other specified bacterial foodborne intoxications
00059 A059    1 Bacterial foodborne intoxication, unspecified                Bacterial foodborne intoxication, unspecified
00060 A06     0 Amebiasis                                                    Amebiasis
00061 A060    1 Acute amebic dysentery                                       Acute amebic dysentery
00062 A061    1 Chronic intestinal amebiasis                                 Chronic intestinal amebiasis
00063 A062    1 Amebic nondysenteric colitis                                 Amebic nondysenteric colitis
00064 A063    1 Ameboma of intestine                                         Ameboma of intestine
00065 A064    1 Amebic liver abscess                                         Amebic liver abscess
00066 A065    1 Amebic lung abscess                                          Amebic lung abscess
00067 A066    1 Amebic brain abscess                                         Amebic brain abscess
00068 A067    1 Cutaneous amebiasis                                          Cutaneous amebiasis
00069 A068    0 Amebic infection of other sites                              Amebic infection of other sites
00070 A0681   1 Amebic cystitis                                              Amebic cystitis
00071 A0682   1 Other amebic genitourinary infections                        Other amebic genitourinary infections
00072 A0689   1 Other amebic infections                                      Other amebic infections
00073 A069    1 Amebiasis, unspecified                                       Amebiasis, unspecified
00074 A07     0 Other protozoal intestinal diseases                          Other protozoal intestinal diseases
00075 A070    1 Balantidiasis                                                Balantidiasis
00076 A071    1 Giardiasis [lambliasis]                                      Giardiasis [lambliasis]
00077 A072    1 Cryptosporidiosis                                            Cryptosporidiosis
00078 A073    1 Isosporiasis                                                 Isosporiasis
00079 A074    1 Cyclosporiasis                                               Cyclosporiasis
00080 A078    1 Other specified protozoal intestinal diseases                Other specified protozoal intestinal diseases
00081 A079    1 Protozoal intestinal disease, unspecified                    Protozoal intestinal disease, unspecified
00082 A08     0 Viral and other specified intestinal infections              Viral and other specified intestinal infections
00083 A080    1 Rotaviral enteritis                                          Rotaviral enteritis
00084 A081    0 Acute gastrent d/t Norwalk agent and oth small round viruses Acute gastroenteropathy due to Norwalk agent and other small round viruses
00085 A0811   1 Acute gastroenteropathy due to Norwalk agent                 Acute gastroenteropathy due to Norwalk agent
